"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 22 10:44:02 ICT 2024","Fri Mar 22 10:44:03 ICT 2024","1745","json","","","","","create-booking-json",""
"passed","Fri Mar 22 10:44:04 ICT 2024","Fri Mar 22 10:44:04 ICT 2024","297","json","","","","","update-booking-json",""
"passed","Fri Mar 22 10:44:03 ICT 2024","Fri Mar 22 10:44:04 ICT 2024","311","json","","","","","get-booking-json",""
"passed","Fri Mar 22 10:44:04 ICT 2024","Fri Mar 22 10:44:04 ICT 2024","322","xml","","","","","create-booking-xml",""
"passed","Fri Mar 22 10:44:05 ICT 2024","Fri Mar 22 10:44:05 ICT 2024","814","xml","","","","","update-booking-xml",""
"passed","Fri Mar 22 10:44:04 ICT 2024","Fri Mar 22 10:44:05 ICT 2024","281","xml","","","","","get-booking-xml",""
